category,search_string,search_ranking,text
dining,at STARBUCKS STORE 09435    ALLEN PARK   MI,0,"Detroit Tigers 2019: Here's what's new at Comerica Park this season Mar 21, 2019 ... The Detroit Tigers Opening Day at Comerica Park is set for April 4 and the team 
is giving fans ... Father/Daughter Day (July 21); University of Michigan – 
Dearborn (August 5); Pheasants ... FOOD COURT LOCATIONS ... Entering his 
first season as the voice of Comerica Park is Jay Allen, a long-time public ..."
dining,at STARBUCKS STORE 09435    ALLEN PARK   MI,1,"Union announces restaurant lineup | The Michigan Daily Oct 16, 2019 ... The renovated Michigan Union will feature a Panera Bread and a ... Several 
restaurants previously housed in the Union, including Starbucks and ... six 
restaurants will include MI Burger and the convenience store Blue Market."
dining,at STARBUCKS STORE 09435    ALLEN PARK   MI,2,"Visit Campus - University of Michigan-Dearborn Central campus offerings include McKinley Café and Starbucks. Off-campus ... in 
between. Browse Hour Detroit's Dearborn restaurant guide for locations."
dining,at STARBUCKS STORE 09435    ALLEN PARK   MI,3,"This DACAmented entrepreneur uses his immigrant experience to ... Feb 5, 2019 ... ... East Side · Eastern Market · Grandmont Rosedale · Hamtramck · Highland Park 
... with customers, hoping to one day open up a coffee shop of his own. ... to make 
a decision between working at Starbucks or starting his own business. ... a 
project of the Community Foundation for Southeast Michigan that's ..."
dining,at STARBUCKS STORE 09435    ALLEN PARK   MI,4,"Starbucks Coffee on South University Avenue reopens after ... Jan 11, 2012 ... The Starbucks Coffee on South University Avenue near the University of 
Michigan campus reopened Tuesday following three weeks of ..."
groceries,at KROGER #697              DEARBORN     MI,0,"Police: Fight between 2 women at Kroger leads to shooting Apr 18, 2019 ... The Atlanta Police Department told Channel 2 Action News they were called to 
the Kroger on Cascade Avenue SW just before 1 p.m. When ..."
groceries,at KROGER #697              DEARBORN     MI,1,"6 groceries you should always buy at Kroger Jun 16, 2019 ... Kroger is one of the largest grocery store operators in the country, offering tons of 
sales and promotions on everyday products. Here are a ..."
groceries,at KROGER #697              DEARBORN     MI,2,"Man shot and killed by LMPD officers outside Kroger in west Louisville Nov 8, 2019 ... Police responded to the Kroger at 512 N 35th St. around 6 p.m. Thursday on the 
report of a shooting."
groceries,at KROGER #697              DEARBORN     MI,3,"Business owner promotes Kentucky Proud products at Kroger Jan 18, 2020 ... You can find the Kentucky Proud section in almost every Kroger in the state."
groceries,at KROGER #697              DEARBORN     MI,4,"Chris Stapleton, Willie Nelson, Sheryl Crow to perform at Kroger Field Oct 2, 2019 ... Country music superstar and Kentucky native Chris Stapleton will headline the 
first-ever concert at Kroger Field in Lexington."
